EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5389056,CARTERET CO.,MOREHEAD CITY,04/13/2004,1335,Tornado, ,F0,0,0,10000,0,NC,EST, ,1167446,C,31,MHX,0,0,LAW ENFORCEMENT, ,.5,25, , , , ,MOREHEAD CITY,04/13/2004,1340,34.71667,-76.7,34.71667,-76.7,"Morehead City Police reported a sign blown down and minor damage to a house from a brief tornado touchdown.","",1
5394090,HARNETT CO.,ANGIER,05/02/2004,1615,Tornado, ,F1,0,0,0,0,NC,EST, ,1168769,C,85,RAH,0,0,FIRE DEPT/RESCUE SQUAD, ,2.3,300,7,W,7,W,ANGIER,05/02/2004,1618,35.5,-78.86667,35.5,-78.86667,"A tornado produced damage from Jackson Road to Christian Light Road to Cokesbury Road. Three homes had roof damage, and a tree fell on a mobile home. Several sheds and vehicles were also damaged. About 3 dozen large trees were blown down or snapped.","",2
5404385,JOHNSTON CO.,PRINCETON,06/04/2004,1041,Tornado, ,F0,0,0,0,0,NC,EST, ,1172408,C,101,RAH,0,0,LAW ENFORCEMENT, ,.5,100,3,S,3,S,PRINCETON,06/04/2004,1041,35.42,-78.16667,35.42,-78.16667,"Police spotted a tornado near Oakland Church Road.","",3
5404386,WAYNE CO.,NAHUNTA,06/04/2004,1103,Tornado, ,F0,0,0,0,0,NC,EST, ,1172408,C,191,RAH,0,0,GENERAL PUBLIC, ,1,100, , , , ,NAHUNTA,06/04/2004,1103,35.5,-78.06667,35.5,-78.06667,"The same storm that produced a tornado in Johnston County moved into Wayne County, and a tornado was seen briefly touching down near Nahunta. Some trees were blown down.","",4
5404387,WILSON CO.,STANTONSBURG,06/04/2004,1150,Tornado, ,F0,0,0,0,0,NC,EST, ,1172408,C,195,RAH,0,0,GENERAL PUBLIC, ,1,100,5,W,5,W,STANTONSBURG,06/04/2004,1150,35.61667,-77.91667,35.61667,-77.91667,"A tornado blew trees down near Stantonsburg and the Wayne County border.","",5
5404913,PITT CO.,GREENVILLE,06/04/2004,1309,Tornado, ,F0,0,0,0,0,NC,EST, ,1172919,C,147,MHX,0,0,EMERGENCY MANAGER, ,.1,25,7,NW,7,NW,GREENVILLE,06/04/2004,1309,35.68333,-77.46667,35.68333,-77.46667,"Brief tornado touchdown with damage to power lines near Belvoir Crossroads.","",6
5404914,PITT CO.,STOKES,06/04/2004,1315,Tornado, ,F0,0,0,0,0,NC,EST, ,1172919,C,147,MHX,0,0,EMERGENCY MANAGER, ,.1,25, , , , ,STOKES,06/04/2004,1315,35.71667,-77.26667,35.71667,-77.26667,"Brief tornado touchdown with damage to power lines.","",7
5404915,MARTIN CO.,JAMESVILLE,06/04/2004,1435,Tornado, ,F0,0,0,0,0,NC,EST, ,1172919,C,117,MHX,0,0,TRAINED SPOTTER, ,.1,25,8,SW,8,SW,JAMESVILLE,06/04/2004,1435,35.73333,-77,35.73333,-77,"Brief tornado touchdown near intersection of Highway 171 and Piney Grove Church Road.","",8
5404919,TYRRELL CO.,COLUMBIA,06/04/2004,1715,Tornado, ,F1,0,1,75000,0,NC,EST, ,1172919,C,177,MHX,0,0,EMERGENCY MANAGER, ,.1,50, , , , ,COLUMBIA,06/04/2004,1715,35.91667,-76.25,35.91667,-76.25,"Brief tornado touchdown at a marina on Dewey Pier Road caused damage to twelve boats. One man was critically injured when his boat was flipped.","",9
5404920,CARTERET CO.,STACY,06/07/2004,1053,Tornado, ,F0,0,0,0,0,NC,EST, ,1172920,C,31,MHX,0,0,GENERAL PUBLIC, ,1,25,3,NW,3,NW,STACY,06/07/2004,1058,34.88333,-76.45,34.9,-76.41667,"Tornado reported over Open Grounds in eastern Carteret County.","",10
